Year,Month,counter_num,comments
2015,"April",45,"ib ped spikes over 400 3,5,6,12,29,30; over 100 several other days; bike in 200-300 range 6,13-17, 20-22, 29-30, but following commute pattern"
2015,"November",45,"all four modes in the hundreds frequently 2-13,16-21, but with discernible patterns; ib ped spikes over 600 4,8 and over 300 29; ob bike spikes over 450 19 and to 300 10th"
2015,"December",45,"ib ped spikes over 250 1,13,14,18; ob bike spike over 300 2; all four modes over 50 much of the day 13-15"
2016,"February",45,"ib ped spikes over 150 13,20,22"
2016,"March",45,"ib ped spikes over 250 5,6,7,10-12,17; no data 13,27"
2015,"August",33,"ib ped sustained over 25,often 50 1-4, 8,9,14-17; spikes 11,18,22"
2015,"October",33,"marine corps marathon 25th; ped spikes 5,6,14,30; bike spikes 8"
2015,"August",31,"ob ped spike over 550 8am 7th"
2013,"April",25,"ib ped spike over 50 3pm 4,5,12,19,22,26; multiple spikes midday 9,16,24,25"
2013,"October",25,"no data 1-17; ped spikes over 50 19,22,29"
2014,"March",25,"i/o ped spike over 50 around 2pm 21; ib ped spike over 60 3pm 27,28; multiple i/o ped spikes 31; missing data 9, 24,25,30"
2015,"March",25,"ib ped spike over 50 around 3pm 17,23,24; multiple on 26th; no data 8,16,18-21,25,28,29"
2013,"December",24,"spikes in the thousands for i/o ped, ob bike 10,11,13,14,16,17,19,20"
2014,"May",24,"ib ped stays over 30, sometimes for hours midday 2-4, 11-13, 17-20, 25,26,31"
2014,"June",24,"ib ped stays over 30, sometimes for hours midday 1-4, 7-8, 15-17, 28,29"
2012,"December",23,"no data except 7-9"
2016,"June",23,"ib ped spike over 60 4:15pm 2nd; no data after 3rd"
2012,"May",12,"consistent bike spike 5am 16-31; all 0 rest of month"
2014,"March",12,"ib ped staying over 250 20-31; ob consistently high 20-24; no data 30th"
2011,"October",11,"consistent ped spike 6am all month; no data 1-14"
2011,"November",11,"consistent ped spike 6am all month; ib bike spike to 150 22nd then steadily increasing every 1:15 from noon 23 to 6am 24"
2011,"December",11,"consistent ped spike 6am all month"
2012,"January",11,"consistent ped spike 6am all month; i/o spike over 150 after noon 26th"
2012,"February",11,"consistent ped spike 6am all month, sometimes over 150-250"
2012,"July",11,"bike spike 6am 5-7; missing data 3,9,11,19,23"
2012,"August",11,"bike spike 6am 10-13, 16; missing data 2,4,18,20,25,28-31"
2012,"September",11,"ib bike spike 6am 27th; i/o bike 28th"
2012,"October",11,"consistent ib bike spike 6am 2-10, 19-21,27-31; noon on 12th; joined by ob bike on 20,27"
2012,"November",11,"consistent bike spike 6am 1-3, then 5am rest of month"
2012,"December",11,"consistent bike spike 5am every day 1-10; switches to ob ped starting 12th; missing data 11,17"
2013,"January",11,"consistent  ped spike 5am every day, often over 75; i/o ped spikes over 100 around noon 1st"
2013,"February",11,"consistent  ped spike 5am ever day, often over 75"
2013,"March",11,"overnight ped spikes 2,3; missing data 10th; i/o ped spike over 60 30th"
2014,"November",11,"no ob all month; missing data 20th"
2014,"December",11,"almost no ob ped or bike 1-17; missing data 4-5"
2012,"September",9,"ib ped over 500 15-19; missing data 12,21,23,27"
2013,"January",9,"ib ped excursion over 300 30-31"
2014,"June",9,"ib ped spikes over 500 10-17"
